city,st,state,lat,lon,county,zip,bad_lat,bad_lon,distance_miles,geocode_flag
Abbeville,AL,Alabama,31.56639,-85.25139,Henry,36310,31.60114263865322,-85.2213010335666,2.9803105773414122,Review
Adamsville,AL,Alabama,33.59028,-86.94917,Jefferson,35005,33.59028,-86.94917,0.0,OK
Addison,AL,Alabama,34.2,-87.17778,Winston,35540,34.24797296377168,-87.16509825025057,3.3853882183215833,Review
Akron,AL,Alabama,32.87639,-87.74083,Hale,35441,35.89781115241345,-86.63468612126455,217.6374081369447,Bad
Alabaster,AL,Alabama,33.23111,-86.82361,Shelby,"35007, 35114",36.83064775111809,-83.64384407758713,306.6772545792626,Bad
Albertville,AL,Alabama,34.26528,-86.21111,Marshall,35950-35951,37.62234273550363,-81.9733881732887,331.6161207349672,Bad
Alexander,AL,Alabama,32.93306,-85.93611,Tallapoosa,35010-35011,37.15633700733123,-82.14355242004709,361.84561712019234,Bad
Aliceville,AL,Alabama,33.12611,-88.15417,Pickens,35442,33.22225917649861,-88.11387649093986,7.025548439533714,Review
Allgood,AL,Alabama,33.90417,-86.51639,Blount,35013,35.29103550733386,-82.12641253461017,267.8363183375669,Bad
Altoona,AL,Alabama,34.02917,-86.32056,Etowah,35952,34.02917,-86.32056,0.0,OK
Andalusia,AL,Alabama,31.3,-86.483,Covington,36420 and 36421,31.3,-86.483,0.0,OK
Anderson,AL,Alabama,34.92,-87.27028,Lauderdale,35610,34.97968365681459,-87.18563358021723,6.325305939475268,Review
Anniston,AL,Alabama,33.66111,-85.83333,Calhoun,36201-36207,33.66111,-85.83333,0.0,OK
Arab,AL,Alabama,34.32778,-86.49861,Cullman,35016,34.32778,-86.49861,0.0,OK
Ardmore,AL,Alabama,34.98694,-86.84306,Limestone,35739,36.89853310260619,-84.68550814559157,178.88182869280593,Bad
Argo,AL,Alabama,33.7,-86.51222,Jefferson,,35.631163545444124,-85.10821428236109,155.28344048369246,Bad
Ariton,AL,Alabama,31.59806,-85.71861,Dale,36311,35.1407977770576,-83.25928128411967,282.52500029720517,Bad
